prompt,completion
【ガチャ|くじ/スクラッチ/福引/ルーレット/スロット】Step8. キャンペーン高度設定,"別ページでご説明しております。
こちらをご参照ください。
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/128dcc58dfbfef556a3bab4461299086991a0e0c/

クーポン獲得後画面の文言変更（非公開可）と、もぎりボタンの画像変更ができます。

もぎりボタンを変更する
1.「＋画像を選択」をクリック

任意の画像をアップロードください。

※対応ファイル形式：PNGまたはJPEG

※推奨サイズ：横238 px、縦46 px
文言のテキストを変更する（上段テキスト）

テキストの変更方法
1.入力欄をクリックし、任意のテキストを入力します。



注意事項（下段テキスト）

テキストの変更方法
1.入力欄をクリックし、任意のテキストを入力します。



テキスト類（上段、下段）を非公開にする
1.テキスト項目の右側にあるトグルスイッチ「公開中」をクリックし、「非公開」を選択します。



クーポンURLの保存ボタンを追加

ONにした場合、このような表示になります。

保存ボタンの色などのデザインは変更できません。

（イメージ）



クーポン利用店舗選択機能
設定方法"
【ガチャ|くじ/スクラッチ/福引/ルーレット/スロット】Step9-1. あたり設定,"
クーポン等の発行総数と、等級ごとの当たり枚数（確率）を設定することができます。
1.くじの総数（発行総数）を入力

入力欄をクリックし、枚数を入力ください。


2.等級ごとの当たり枚数を入力

入力欄をクリックし、枚数を入力ください。

※当たり枚数=発行総数×確率%

もぎり機能

クーポンを使用した際に、そのクーポンを「利用済」とする事ができます。

もぎり機能をONにすると、「クーポンを利用する」ボタンが出現し、

クリックすると、「クーポン利用済」と表示が変更されます。
設定方法
※デフォルトでONになっております。
1.チェックを入れたり、外したりしてON、OFFを切り替えます。



その他機能は別ページでご説明しております。
こちらをご参照ください。
二段階抽選
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/4926b4ddf51506570a3162de52b4edb45be31fe1/
枚数リセット
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/6681edb350791811a1ee7e2eb99681b4719bf441/
設定方法"
【ガチャ|くじ/スクラッチ/福引/ルーレット/スロット】Step9-3. 枚数リセット,"
対象プラン

コンテンツ（クーポン、ガチャ、くじ、スクラッチ）を公開後、
テスト等でコンテンツ確認し、くじ枚数を減らした場合に、
「枚数リセット」ボタンを押すと、使用されたくじ枚数をリセットする事ができます。

**※リセット実行後はリセット前の状態に戻す事はできません。**
**※クッキー情報もリセットされ、景品獲得履歴も消えます。
 （既に抽選済みの端末も、未抽選端末になります。）**
**※リセット後は、リセット前のCSVデータが取得できなくなります。
　必要な場合、リセット前にCSVデータのダウンロードをお願いします。**
枚数をリセットする方法
1.あたり設定画面を展開

管理画面TOPのコンテンツ一覧より、コンテンツの「編集」ボタンをクリックし
あたり設定画面まで進みます。

2.「枚数リセット」ボタンをクリック
あたり設定画面の、右上にある「枚数リセット」ボタンをクリックします。



3.アラートを確認（枚数リセットの実行）

アラートを確認し、枚数リセットを実行します。
実行する場合は、「OK」をクリック。
キャンセルする場合は、「キャンセル」をクリック。
4.完了
完了アラートです。「OK」をクリック。

使用されたチケット数がゼロになっていることをご確認ください。

くじ枚数を変更する方法
コンテンツの公開期間中であっても、くじ枚数を変更できます。

枚数リセットを実行すると、くじの総数、各等級ごとの枚数が変更できるようになります。

1.枚数リセットを実行してください。

2.変更箇所をクリックし、くじの枚数を再設定（変更）ください。



設定方法
二次利用可能な印刷会社様向けのクリエイティブプランのみ
"
【クーポン|ガチャ|くじ/スクラッチ/福引/ルーレット/スロット】Step1. URL設定,"
コンテンツごとにURLを設定します。
1.短縮URLを利用する
短縮URLを利用すると、ドット数を削減できる場合があります。
アクセス時は、短縮URLから設定したURLへリダイレクトされます。
2.LINEアプリでURLやQRコードの読み込みを行った場合、外部ブラウザで開くようにする
**※対象プラン：ビジネス、ベーシック**

LINEアプリ内での表示は非推奨です。外部ブラウザで開いてください。
制限文字数の関係上短縮URLのチェックは必須となります。
3.デザインソフトで背景設定可能なQRコード（ドットレスを含む）またはバリアブル機能を利用する
**対応コンテンツ：ギフトのみ**

QRコードの背景画像をデザインソフトなどで別途設定される場合、
もしくはバリアブル機能を利用する場合はチェックを入れてください。

※URLは英数字とハイフン、アンダースコアのみ使用できます

設定方法"
【ガチャ|くじ/スクラッチ/福引/ルーレット/スロット】Step2. 背景画像をアップロード,"
1.画像ファイルを画像アップロード欄にドラッグ＆ドロップ
もしくは、「パソコンからファイルを選択」をクリックし、任意の画像ファイルを選択します。

※対応ファイル：jpeg、png
※画像サイズ：横124px以上、縦124px以上
※最大アップロードサイズ：20MB
設定方法"
【ガチャ|くじ/スクラッチ/福引/ルーレット/スロット|SNS】Step3. QR生成,"別ページでご説明しております。
こちらをご参照ください。

https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/b8aa4a2781c890fd5c36a3c500779209b36ec277/"
【ガチャ|くじ/スクラッチ/福引/ルーレット/スロット】Step4. コンテンツ種類を選択,"

設定方法
1.キャンペーンを選択します。
2.ガチャなどから利用する種類を選択します。

コンテンツの種類を選択します。

■選択できる種類
ガチャ、くじ、スクラッチ、福引、ルーレット、スロット、（クーポン）

クーポンコンテンツの作成方法は別ページでご説明しております。
こちらをご参照ください。
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/category/954174943dcc5202ad32dfbb40dcfba4731bf802/"
【ガチャ|くじ/スクラッチ/福引/ルーレット/スロット】Step6. 種類を選択,"1.1~N等ガチャを選択します

等級の設定は別ページで行います。

1?10等まで設定できます。"
【ガチャ|くじ/スクラッチ/福引/ルーレット/スロット|クーポン】Step8-2.?クーポン利用店舗選択機能,"
ONにした場合、クーポンをどの店舗で利用するか選択できるようになります。

（イメージ）


設定方法
1.ラジオボタンをONにし、選択肢を入力します。
選択肢を複数設定する場合は、1店舗ごと改行して入力してください。
"
【ガチャ|くじ/スクラッチ/福引/ルーレット/スロット】Step10. プレビュー,"

設定した内容が確認できる画面です。
設定方法
1.設定内容を確認してください。
2.修正があれば「戻る」で前の画面に戻ります。
3.コンテンツを完成させるには「完了」をクリックします。"
【|ガチャ|くじ/スクラッチ/福引/ルーレット/スロット】,"ガチャなどの抽選コンテンツが作成できます。
最大10等まで等級の設定が可能です。

ガチャ素材、クーポン素材などが編集でき、抽選画面にブロック追加でメニューを追加することも可能です。
各等級ごとにクーポンを設定でき、その画像にリンクを設定することも可能です。

対象プラン
全プラン

コンテンツ種類
ガチャ、くじ、スクラッチ、福引、ルーレット、スロット"
【クーポン|ガチャ】クーポンコード一覧（コンテンツログ）,"
ガチャなどの抽選後に発行されたクーポンの利用状況が確認できる機能です。
■確認できる項目
・クーポンの発行状況
・クーポンの利用状況

画面の見方
1.コンテンツ一覧の画面で「クーポン一覧」をクリックします。


2.集計期間を選択します。
3.二段階抽選が設定されている場合、段階ごとにタブが分かれていますので、確認したい段階を選択します。

4.CSVダウンロード
選択している段階のタブの情報をCSV形式でダウンロードできます。
各種項目
■コード
キュリアシステム上、自動で割り振られたクーポンコードが表示されています。

■タイトル
コンテンツ名が表示されます。

■作成時刻
クーポンを獲得した時刻が表示されます。

■もぎり利用時刻
クーポンが利用された（もぎられた）時刻が表示されます。

■経由
なにを経由してクーポンに遷移したのかが表示されます。

■利用店舗
 「クーポン利用店舗選択機能」がONの場合、選択された店舗名が表示されます。

■結果
クーポンを取得したコンテンツでの結果が表示されます。
例：ガチャで当たりを出した際に取得したクーポンであれば「当たり」と表示されます

■ステータス
クーポンの利用状況「もぎり前」「もぎり済み」かが表示されます。
"
【ガチャ|くじ/スクラッチ/福引/ルーレット/スロット|あたり設定】Step5-1. コンテンツ詳細,"
管理画面TOPのコンテンツ一覧に表示されるコンテンツ名です。
管理しやすいコンテンツ名を設定ください。
文字数上限:255文字以内

2.メモを設定します
管理画面内でのみ表示されます。コンテンツ管理の際に設定しておくと便利です。
文字数上限:255文字以内
［表示イメージ］

3.使用目的を設定します
クリックすると、プルダウンにて選択肢が表示されます。
想定している媒体を選択ください。
該当する選択肢がない場合は、「その他」を選択ください。

4.SEOタイトルを設定します。
titleタグに表示したい文言が設定できます。
5.コンテンツ公開期間(抽選期間）を設定します。
コンテンツの公開期間を設定できます。
クーポンの利用期限を設定したい場合も、当項目です。

※指定がない場合、「常に公開」になります。
クーポンのタイマー機能は別ページでご説明しております。
こちらをご参照ください。
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/ddfc6de16e1248c24085d7e472f8ec51d8097fbb/

［公開期間を過ぎた場合のイメージ］

6.クッキー日数を設定します。

1ユーザーが2回目のキャンペーン実行を行うまでにかかる日数を設定できます。

［設定イメージ］

クッキー日数：3日に設定した場合、
実行時間から3日間は、一度当選した等級のクーポン結果のみが表示されます。
実行時間から4日目に、再度コンテンツ（クジ）を実行することができます。

※抽選期間中に、クッキー日数が過ぎ、コンテンツURL（抽選結果ページ）にアクセスした場合、
新規抽選ユーザーとしての扱いとなり、再度抽選となります。

 
7.オープニング動画を設定します。
※ビジネス・ベーシックプランのみ
コンテンツにアクセスした際に最初に流れる動画が設定できます。
別ページでご説明しております。
こちらをご参照ください。
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/aa154ac797e2be42be807d6b1c4678367de66efe/
8.ホームに追加を設定します。

コンテンツを「ホーム画面に追加」にてブックマークする際に、アイコンとして表示される画像の設定ができます。

「＋画像を選択」ボタンをクリックし、任意の画像ファイルを選択しアップロードください。

※対応ファイル：PNGまたはJPEG

※ホーム画面に追加したアイコンからアクセスした際、推奨ブラウザで開かない場合がございます。クッキーを設定している抽選系コンテンツでのご利用の際はご注意ください。

［表示イメージ］

9.SNS連携時文言を設定します。
SNS連携時文言を入力すると、SNSに投稿する際に指定の文言を表示することができます。

［イメージ］
SNS連携時文言：QLEAR（キュリア）というサービスです。

10.SEOキーワードを設定します。
キーワードに設定したい文言を設定してください。
複数入力する場合はコンマ（,）で区切ってください。
11.SEOディスクリプションを設定します。
サイトの説明を設定してください。
検索結果のタイトル下部に表示されます。
12.OGP設定します。
FacebookのユーザーIDを設定してください。
SNSでシェアした際に、設定したWEBページのタイトルやイメージ画像、
詳細などを正しく伝えるための設定です。
13.iOSアプリURLを設定します。
App Storeに公開されているアプリURLを設定してください。
14.AndroidアプリURLを設定します。
GooglePlayに公開されているアプリURLを設定してください。

コンテンツ名や公開期間（抽選期間）などの設定ができます。
設定方法
1.コンテンツ名を設定します"
【ビジネス/ベーシックプラン】Step5-4. オープニング動画,"・キャンペーン（ガチャ、くじ、スクラッチ、福引、ルーレット、スロット）
・クーポン
・フォーム
・スマホサイト
・ギフト　※【QRコード種別により対象外の場合あり】

対象外コンテンツ
・スタンプラリー
・外部リンク
・ギフト　※【デザインソフトで背景設定可能なQRコード(ドットレスを含む)またはバリアブル機能を利用するを選択した場合】


コンテンツアクセス後に設定した動画を再生させることができます。
動画再生時に、任意で設定した秒数後に「動画をスキップ」ボタンから
動画をスキップさせることが可能です。



1.コンテンツ詳細内の「オープニング動画」をONに選択します。
2.動画を選択から動画データ（.mp4）をアップロードします。
3.アップロード完了後「閉じるボタンを表示するまでの秒数」を設定します。
4.ループ再生 のON/OFFを設定します。
5.動画用CookieのON/OFFを設定します。
※CookieをOffにするとコンテンツが表示される前に設定した動画が毎回流れます。

（イメージ）設定画面



プランごとに1アカウント内で動画をアップロードできる上限を設けております。
■ビジネス：1GB
■ベーシック：500MB
残りのアップロード容量は動画設定画面でご確認ください。


・動画データはMP4形式のものをご用意ください。
・動画データは30MB以上のものはアップロードできません。
・アップロードする動画はプログレッシブ方式のものをご用意ください。
・音声付きの動画データであっても再生時には消音になります。

動画が自動再生になる仕様のため各ブラウザのポリシーにより音声を流すことが難しいためです。
ポリシーに沿ってお客さまのご要望にお応えできるよう、機能改修を行なってまいります。



対象プラン
ビジネス・ベーシックプランのみ
対応コンテンツ種類
設定方法
動画データのアップロード上限
注意事項"
【ガチャ|よくある質問】抽選コンテンツの等数の追加方法を知りたい,"ガチャの種類の「テンプレートを編集」画面にて、
?メインコンテンツの「編集アイコン」をクリック

?「◯等を追加する」をクリック。 すると、等級を追加することができます。

※最大10等まで追加可能です。"
【クーポン|ガチャ|くじ/スクラッチ/福引/ルーレット/スロット|よくある質問】公開期間や抽選期間、クーポン利用可能期間の設定について詳しく教えてください。,"【例】
10月1日から、10月31日までの1ヶ月間を設定する場合は、

開始　10/1 0:00
終了　11/1　0:00

となります。

上記設定の場合、10月31日の23時59分59秒にコンテンツは終了となります。
"
【クーポン|ガチャ|くじ/スクラッチ/福引/ルーレット/スロット|よくある質問|もぎりボタン】引換券のもぎりボタンをONにしていますが実際の画面に表示されません,"クーポン（引換券）の利用可能期間を今一度ご確認ください。

現在より未来の日時になっている場合、
クーポンを利用させない為に「もぎりボタン」は非表示になります。

クーポン利用可能期間になりましたら表示されますのでご確認ください。"
【クーポン|ガチャ|くじ/スクラッチ/福引/ルーレット/スロット|枚数リセット|よくある質問】本番運用前にテストで利用したクーポン枚数をリセットする方法,"詳細は「枚数リセットについて」をご確認ください。

https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/6681edb350791811a1ee7e2eb99681b4719bf441/"
【クーポン】クーポンコード一覧,"1.「クーポンコード一覧」をクリックします。
TOPページのコンテンツ一覧より、指定のコンテンツの操作列にある
「クーポンコード一覧」をクリックし、クーポンコード一覧を展開します。


2.クーポンコード一覧を確認します。

■コード
キュリアのシステム上、自動で割り振られたクーポンコードが表示されています。

■タイトル
コンテンツ名が表示されます。

■作成時刻
クーポンを獲得した時刻が表示されます。

■もぎり利用時刻
クーポンが利用された（もぎられた）時刻が表示されます。

■経由
なにを経由してクーポンに遷移したのかが表示されます。

■利用店舗
 「クーポン利用店舗選択機能」がONの場合、選択された店舗名が表示されます。

■結果
クーポンを取得したコンテンツでの結果が表示されます。
例：ガチャで当たりを出した際に取得したクーポンであれば「当たり」と表示されます

■ステータス
クーポンの利用状況「もぎり前」「もぎり済み」かが表示されます。


1.クーポンコード一覧を展開します。
2.開始日と終了日を指定します。
集計期間の指定欄をクリックし、集計期間を指定ください。

3.「集計する」ボタンをクリックします。

1.クーポンコード一覧を展開します。
2.「CSVをダウンロード」をクリックします。

※集計期間を指定しダウンロードすることも可能です。

1.クーポンコード一覧の展開方法
2.各項目について
3.集計期間の指定
4.CSV形式でのダウンロード"
【クーポン】,
【クーポン】Step1. URL設定,"別ページでご説明しております。
こちらをご参照ください。

https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/92ae5a0f74b88a61d901a626eba72d98beac332b/"
【クーポン】Step2. 背景画像をアップロード,"別ページでご説明しております。
こちらをご参照ください。

https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/aba45f81e3c6710a0b29f6c234fbb953869356d5/"
【クーポン】Step3. QR生成,"別ページでご説明しております。
こちらをご参照ください。

https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/b8aa4a2781c890fd5c36a3c500779209b36ec277/"
【クーポン】Step4. コンテンツ種類を選択,"
コンテンツの種類を選択からクーポンを選択します。
設定方法
1.キャンペーンを選択します。

2.クーポンを選択します。
"
【クーポン】Step5-1. コンテンツ詳細,"別ページでご説明しております。
こちらをご参照ください。

https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/5e2426dc6c5fdeb18048fa006c6648714a467cf9/"
【クーポン】Step5-2. オープニング動画,"別ページでご説明しております。
こちらをご参照ください。

https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/aa154ac797e2be42be807d6b1c4678367de66efe/"
【クーポン】Step6. テンプレートを編集,"
クーポン表示画面、利用画面の表示内容が編集できます。
各種画像やテキストが編集できます。
その他箇所の編集は次のステップ「キャンペーン高度設定」で行いますので併せてご活用ください。
設定方法
1.ヘッダーの編集

別ページでご説明しております。
こちらをご参照ください。

（ヘッダーの画像変更）
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/c877653943de20ecd55ef9c3867d20d98e0e9499/

（ヘッダーの背景色変更）
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/6f594c1954e97d8279f0b4ef12202524149c5ebf/

2.クーポンのデザイン編集
テンプレート編集画面にて、メインコンテンツの「編集」アイコンをクリックします。
編集アイコンをクリックすると、画像を編集メニューに遷移します。

クーポンの背景画像、その他テキストなどを編集します。

3.フッターの編集

別ページでご説明しております。
こちらをご参照ください。
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/072ad2991c5ff2fdb593ec871ba4051dd9698994/"
【クーポン】Step7.?キャンペーンの高度設定,"別ページでご説明しております。
こちらをご参照ください。

https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/551a6bf7f2b49ce32586e0a4981e6f2db4225fa6/"
【クーポン】Step8-1. 発行枚数,"
クーポンの発行枚数を設定します。
もぎり機能のON,OFFの切り替え、枚数リセットを行うことができます。
設定方法

1.発行枚数の設定
任意の値を入力します。
※プランによって発行可能枚数に制限があります。

2.引換券のもぎり機能をOFF
もぎり機能を使用しない場合はチェックを入れてください。

3.枚数リセット
別ページでご説明しております。
こちらをご参照ください。
"
【クーポン】Step8-2. 枚数リセット,"
コンテンツを公開後、テスト等でコンテンツ確認し、クーポン枚数を減らした場合に、「枚数リセット」ボタンを押すと、使用されたクーポン枚数をリセットする事ができます。

**※リセット実行後はリセット前の状態に戻す事はできません。**
**※クッキー情報もリセットされ、クーポンの獲得履歴も消えます。
 （既にクーポン取得済みの端末も、未取得端末になります。）**
**※リセット後は、リセット前のCSVデータが取得できなくなります。
　必要な場合、リセット前にCSVデータのダウンロードをお願いします。**
設定方法
枚数をリセットする方法
1.「枚数リセット」ボタンをクリック
発行枚数設定画面の、右上にある「枚数リセット」ボタンをクリックします。

2.アラートを確認（枚数リセットの実行）

アラートを確認し、枚数リセットを実行します。
実行する場合は、「OK」をクリック。
キャンセルする場合は、「キャンセル」をクリック。

3.完了
完了アラートです。「OK」をクリック。
クーポン枚数を変更する方法
コンテンツの公開期間中であっても、クーポン枚数を変更できます。

枚数リセットを実行すると、クーポン枚数が変更できるようになります。

1.枚数リセットを実行してください。
2.変更箇所をクリックし、クーポン枚数を再設定（変更）してください。

"
【クーポン】Step9.? プレビュー,"別ページでご説明しております。
こちらをご参照ください。

https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/7ceefc63910dad5ee4ee4db71844e81db58842b7/"
【クーポン|よくある質問】もぎりボタン（クーポンを利用する／引換券を利用する）のデザインを変更できますか？,"はい。できます。

キャンペーン高度設定にて、画像を差し替えてご利用ください。"
【クーポン|よくある質問】クーポン獲得後画面に表示されている文言を変更、または非公開にすることは可能ですか？,"可能です。

「キャンペーン高度設定」にて、文言を変更または非公開に設定ください。"
【ガチャ|くじ/スクラッチ/福引/ルーレット/スロット】Step5. コンテンツ詳細,"
指定のURLへのリダイレクト設定などを行います。
コンテンツ名の設定（必須）
管理画面TOPのコンテンツ一覧に表示されるコンテンツ名です。
管理しやすいコンテンツ名を設定ください。
［表示イメージ］

使用目的を設定（必須）
クリックすると、プルダウンにて選択肢が表示されます。
ご利用想定している媒体を選択ください。
該当する選択肢がない場合は、「その他」を選択ください。

リダイレクト先URLの設定（必須）
URL入力欄をクリックし、自動的に遷移させたいページのURLを入力します。

公開期間の設定
コンテンツの公開期間を設定できます。

※指定がない場合、「常に公開」になります。

［公開期間を過ぎた場合のイメージ］

クッキー日数の設定
こちらの項目は今後設定画面より削除予定です。

設定方法"
【外部リンク】,"キュリアで作成したQRを読み込んだ後に、
指定の外部リンクに自動的に遷移させることができます。（リダイレクト機能）

遷移先をキュリアで作成したコンテンツにも設定できますが、
別途作成された会社やサービス、キャンペーンのスマホ用サイトに設定するなどしご活用ください。
外部リンクコンテンツに関しては、キュリアではログは取得できません。
注意事項"
【外部リンク】Step1. URL設定,"別ページでご説明しております。
こちらをご参照ください。

https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/92ae5a0f74b88a61d901a626eba72d98beac332b/"
【外部リンク】Step2.?背景画像をアップロード,"別ページでご説明しております。
こちらをご参照ください。

https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/aba45f81e3c6710a0b29f6c234fbb953869356d5/"
Step3. QR生成,"別ページでご説明しております。
こちらをご参照ください。

https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/b8aa4a2781c890fd5c36a3c500779209b36ec277/"
Step4. コンテンツの種類を選択,"
コンテンツの種類を選択します。
設定方法

「外部リンク」を選択します。
"
【外部リンク】Step6. プレビュー,"
設定した内容が確認できる画面です。
設定方法
1.設定内容を確認してください。
2.修正があれば「戻る」で前の画面に戻ります。
3.コンテンツを完成させるには「完了」をクリックします。"
【ドットレスQR/バリアブルQR|よくある質問|SNS|NFC】外部サイトに遷移するデザインQRコードを作成することはできますか？,"できます。

コンテンツは「外部リンク」をお選びください。
指定の外部リンクに自動的に遷移させることができます。
（リダイレクト機能）

※外部サイトへのアクセスログは、外部サイト側でログ取得をお願いします。
（キュリアコンテンツとしてのログ表示はいたしません。）

 
外部リンクコンテンツの設定方法については下記URLを参考ください。
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/category/4313d9a0cffce4e7b33d8a783d41a9cf677fcacc/"
【フォーム】セレクトボックス(画像付き）,"
セレクトボックスの選択項目に画像を設定できます。

（イメージ）

設定方法
それぞれの選択肢毎に、画像をアップしテキストを設定します。
・テキスト：文字数上限:255文字以内

■選択肢を追加したい場合

最大30個まで追加可能です。

選択肢を追加ボタンをクリックすると追加されます。
■追加した選択肢を削除する場合

各選択肢のメニュー内右上の赤い×をクリックして削除できます。
■選択中の色

選択中は画像の色合いが変わります。

その色を設定してください。


コンテンツ側の表示
作成したコンテンツではこのような表示になります。

（イメージ）



?フォーム全体を表示している際には設定した画像は表示されず「選択してください」とメッセージが表示されています。プルダウンを下げてご利用ください。

?選択肢の表示画面で、設定した画像とタイトルが表示されます。

?選択中の画面でも画像とタイトルが確認できます。

複数選択中の場合は全ての選択肢は表示されません。
添付画像の確認方法
問い合わせ一覧内で他の回答内容と一緒に確認ができます。

画像はサーバーにアップされておりアップ先のURLが表示されますのでそこからご確認いただき

ブラウザの機能を利用しダウンロードしてください。
"
【フォーム】サンキューメールフィールド（ビジネス/ベーシックのみ）,"対象プラン
ビジネス、ベーシック

フォームの回答項目にメールアドレスを設定した場合、

入力いただいたメールアドレス宛に、フォーム回答後自動的にサンキューメールが

送信できる機能です。


設定方法
1.「サンキューメールフィールド」のブロックを追加します。



2.ブロック編集を行います。

　※プレースホルダー（メールアドレス入力欄）は小文字のみ入力可能です。
　　ユーザー回答時も、大文字は入力いただけませんのでご注意ください。

回答内容をメールで送信する
■ONを設定した場合

メール本文の下に、回答内容を含んで送信されます。

（イメージ）

サンキューメールの送信元アドレスについて
サンキューメールの送信元アドレスは「support@qlear.cloud」になります。
こちらは仕様上、お好きなアドレスへの変更はできかねます。
何卒ご了承ください。

送信元アドレス「support@qlear.cloud」へ
エンドユーザー様が返信をされた場合、弊社では対応できかねますので
本文へ注意書きと問い合わせの記載をお願いいたします。

例）
※なお、このメールはシステムより自動配信されています。
返信は受付できませんので、ご了承ください。

※このメールは、配信専用のアドレスで配信されています。
このメールに返信されても、返信内容の確認およびご返答ができません。
あらかじめご了承ください。
このメールの内容についてのお問い合わせは、
下記の連絡先までメール、または電話でお願いします。
（メールアドレスや電話番号を掲載）
配信数の上限について

プラン内のご契約ですと、上限が5000件までとなっております。

キュリア管理画面の各種利用数のメニューから送信済み件数が確認できます。

また、対象フォームコンテンツがゴミ箱からも削除されますと配信可能数が復活します。
配信上限を超えますと、サンキューメール配信が停止されます。
メール配信の再開や送信可能数の追加が必要な場合は

各営業担当か、サポートまでお問い合わせください。


■タイトル1,2
文字数上限:255文字以内
■メール設定(件名、本文)
文字数上限:255文字以内"
【フォーム】チェックボックス(画像付き）,"・タイトル
選択項目の上に表示されます
文字数上限:255文字以内

・状態
3種類から1つ設定してください

・選択肢1?10
写真とテキストが編集可能です
文字数上限:255文字以内


チェックボックスの選択項目に画像を設定できます。

（イメージ）

設定方法

■追加した選択肢を削除する場合

各選択肢のメニュー内右上の赤い×をクリックして削除できます。
■選択肢を追加したい場合

最大10つまで追加可能です。

選択肢を追加ボタンをクリックすると追加されます。

■選択中の色

選択中は画像の色合いが変わります。

その色を設定してください。


■チェックの上限

回答時にいくつまでチェックを入れることができるか設定できます。

設定内容は選択肢の上に表示されます。


"
【フォーム】ラジオボタン(画像付き）,"
ラジオボタンの選択項目に画像を設定できます。

（イメージ）



設定方法

・タイトル
選択項目の上に表示されます
文字数上限:255文字以内

・状態
3種類から1つ設定してください

・選択肢1?10
写真とテキストが編集可能です
文字数上限:255文字以内
■追加した選択肢を削除する場合

各選択肢のメニュー内右上の赤い×をクリックして削除できます。


■選択肢を追加したい場合

最大10つまで追加可能です。

選択肢を追加ボタンをクリックすると追加されます。

■選択中の色

選択中は画像の色合いが変わります。

その色を設定してください。

"
【フォーム】タイトルフィールド,"初期値として「タイトル」が入力されています。

■テキスト：タイトルに設定したい文言を入力してください。
文字数上限:255文字以内

設定後はこの様に反映されます。

フォーム回答者に何かを入力する機能はありません。

"
【フォーム】郵便番号,"住所の入力時にご活用ください。

初期値として「郵便番号」が入力されています。



■タイトル：項目名に表示されます。文字数上限:255文字以内

■状態：「必須」または「任意」が設定できます。

■概要：4つの入力欄がございます。

入力例としてプレースホルダーが設定できます。

入力画面にグレーで表示される内容です。"
【フォーム】数値フィールド,"初期値として「電話番号」が入力されています。

■タイトル：項目名に表示されます。文字数上限:255文字以内

■状態：「必須」または「任意」が設定できます。

■概要：入力例としてプレースホルダーが設定できます。

入力画面にグレーで表示される内容です。"
【フォーム】日付フィールド,"初期値として「面談希望日」が入力されています。

■タイトル：項目名に表示されます。文字数上限:255文字以内

■状態：「必須」または「任意」が設定できます。

■概要：入力例としてプレースホルダーが設定できます。

入力画面にグレーで表示される内容です。

■期間指定：ON/OFFで切り替えができます。
選択できる日付を指定したい場合、ONにし指定期間を設定します。

対応可能期間がある場合その期間のみ選択できるようにするという使い方ができます。

（イメージ）2021年9月8日?2021年9月16日 を期間指定した場合

実際のフォームではこのような画面で日付が選択できます。

指定したい期間が複数ある場合、追加ボタンから10個まで追加可能です。

"
【フォーム】時刻フィールド,"初期値として「面接希望時刻」が入力されています。



■タイトル：項目名に表示されます。文字数上限:255文字以内

■状態：「必須」または「任意」が設定できます。

■概要：入力例としてプレースホルダーが設定できます。

入力画面にグレーで表示される内容です。
設定後はこの様に選択出来るようになります。
"
【フォーム】画像・動画の添付,"初期値として「参考ファイルの添付」が入力されています。

■タイトル：項目名に表示されます。文字数上限:255文字以内

■状態：「必須」または「任意」が設定できます。

■ファイル形式：「すべて」「画像」「動画」から選択できます。

■概要：画像アップロード画面を開くためのボタンに

表示する文言を設定できます。
ファイル指定
画像の形式：PNG, JPG   上限容量：10MB

動画の形式：mp4,mov　上限容量：30MB
添付ファイルの確認方法
問い合わせ一覧から確認できます。"
【フォーム】メールフィールド,"初期値として「メールアドレス」が入力されています。

■タイトル：項目名に表示されます。文字数上限:255文字以内

■状態：「必須」または「任意」が設定できます。

■概要：入力例としてプレースホルダーが設定できます。
　　　　入力画面にグレーで表示される内容です。

※プレースホルダー（メールアドレス入力欄）は小文字のみ入力可能です。
　ユーザー回答時も、大文字は入力いただけませんのでご注意ください。


ユーザー回答時、入力内容に不備があれば上記のようなアラートが表示されます。
"
