prompt,completion
【スマホサイト】【標準】,"追加できるブロック
・フッター
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/a602d99d18360c233858bbbcd27324d108ba77eb/

・テキストエリアブロック
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/b2b908d2251566f3316bde7058a3620570c58f6d/

・見出し＋テキストブロック
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/1e2b0b3428793711a1295a15fa62d6c8ffa37350/

・リンクブロック
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/cb6ccc3d2f2148899aba59cd7233124f7dc7dc98/

・背景画像＋テキストブロック
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/7cf6e6015fd37dd23bdd6b289ded5a2e61341939/

・画像ブロック
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/ff127a8f22ab18da80246e2753194fb81e20cd3d/

・画像＋テキストブロック
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/f630125585516542ce8a32fcbc0bb0949d85f02d/

・カルーセルブロック
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/71d3b979cee9adff282c427bb462eb1b952dbba4/

・GIFブロック
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/45a6726534b008c6e15be941ef4531d3859410b1/

・YouTube
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/5d82318cc52bf7f88b09ecf17e7e62d839fc9ff1/

・地図
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/df78d38bdaa518c187b0d24738b8087abad13baa/

・SNSブロック
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/678e528764a2a7141a8481b6688df6ec071810d7/

・HTMLブロック
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/859cc60fec258a7f043e89d8a5a06fba5e7cb60b/

・キュリアコンテンツ
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/585b3a9071608b28ffc50a465fa4432f5896f74d/

・アプリブロック
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/f629d3eb231476e6530733c5baeca71db53fe21b/

スマホサイトが作成できます。ブロック単位で画像や文字を挿入し編集できます。

追加できるブロックの数は40個までになります。
※ヘッダー、フッター含む


対象プラン
全プラン
***
設定方法
スライド型の操作方法と同様です。
別ページでご説明しております。
こちらをご参照ください。
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/09458796bf2a151e29608bbf8d2d63a0ad1bcc13/

***"
【スマホサイト|ビジネス/ベーシックプラン】【スライド型】,"対象プラン

縦にスクロールの他に、横にスライドして閲覧できるスマホサイトが作成できます。

・ハンバーガーメニュー（三本線のメニューボタン）が設置可能です。
・1タブ（ページ）につき最大3つのブロック、最大10個のタブが作成可能です。
・メニューから、指定タブへジャンプできます。
・編集画面にプレビューボタンが搭載されています。


設定方法

追加できるブロック種類
・フッター
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/a602d99d18360c233858bbbcd27324d108ba77eb/

・テキストエリアブロック
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/b2b908d2251566f3316bde7058a3620570c58f6d/

・見出し＋テキストブロック
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/1e2b0b3428793711a1295a15fa62d6c8ffa37350/

・リンクブロック
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/cb6ccc3d2f2148899aba59cd7233124f7dc7dc98/

・背景画像＋テキストブロック
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/7cf6e6015fd37dd23bdd6b289ded5a2e61341939/

・画像ブロック
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/ff127a8f22ab18da80246e2753194fb81e20cd3d/

・画像＋テキストブロック
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/f630125585516542ce8a32fcbc0bb0949d85f02d/

・カルーセルブロック
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/71d3b979cee9adff282c427bb462eb1b952dbba4/

・GIFブロック
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/45a6726534b008c6e15be941ef4531d3859410b1/

・カルーセル（４分割）
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/ef731bea82f2828ad393d7038abe55f026a8cdc8/

・カルーセル（スライダー）
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/436c583297ecb261c1d5a489c8034021f6bf9903/

・YouTube
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/5d82318cc52bf7f88b09ecf17e7e62d839fc9ff1/

・地図
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/df78d38bdaa518c187b0d24738b8087abad13baa/

・SNSブロック
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/678e528764a2a7141a8481b6688df6ec071810d7/

・HTMLブロック
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/859cc60fec258a7f043e89d8a5a06fba5e7cb60b/

・キュリアコンテンツ
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/585b3a9071608b28ffc50a465fa4432f5896f74d/

・アプリブロック
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/f629d3eb231476e6530733c5baeca71db53fe21b/

ビジネス・ベーシック

***"
【スマホサイト】Step7-3. スライド設定,"設定方法


1枚のスライドにつき、最大3つのブロックを設置可能です。

ブロックを追加する前に、まずはこちらで設置数を決めてください。

杯数はスライドごとに変更可能です。


※枚数選択後、必ず「保存」ボタンを押してレイアウト設定を保存ください。

?ハンバーガーメニューとは?
スマホサイト画面右上に表示される3本線のメニューのことです。


スライドごとに、以下を変更いただけます。

・表示する・しない
・メニュー名
【表示例】


各スライドのブロック数やハンバーガーメニューが設定できます。
1.レイアウト設定
2.ハンバーガーメニュー設定"
【スマホサイト】Step7-2. 全体設定,"

スマホサイト全体に反映させる設定です。
設定方法
・背景写真　※アップロードサイズ　5MB以内
・ブロックのスタイル（サイズ・上下左右・繰り返し）
・テキストのスタイル（フォント）

"
Step7-4. アプリブロック,"

アプリのダウンロードを促す画像つきリンクが表示できます。
設定方法
画面右側の「アプリブロック修正」にて編集できます。

・各アプリURL
・アイコン画像　※アップロードサイズ　5MB以内
・ブロックのスタイル（背景色）
ios、Androidどちらかだけを表示したい場合
アプリURL欄のデフォルトで入力されているURLを消すと、表示が消えます。

"
【スマホサイト】キュリアコンテンツ,"
キュリアコンテンツブロック
作成済みコンテンツをリンクで紐付けることができます。
キュリアコンテンツの編集
画面右側の「キュリアコンテンツ修正」にて編集できます。

・Qlearコンテンツ（作成済のコンテンツから選択）
・画像・タイトル　※画像の場合アップロードサイズ　5MB以内
・リンク（キュリアコンテンツで選択したURLが反映される）
・URL（同じタブで開くか・新しいタブで開くか）
・ブロックのスタイル（パディング・ブロック幅・ブロックポジション・背景色）
"
【スマホサイト】HTMLブロック,"設定方法

画面右側、「HTMLブロックの編集」にてソースコードを編集いただけます。
※注意

■設定したソースコードはbody内に埋め込まれます。
■ソースコード設定後はご自身で動作確認を行なってください。
■「blockquote class」で始まる埋め込みコードなど、
　JavaScriptを用いた埋め込みコードには対応しておりません。

"
【スマホサイト】SNS・LINE友達登録,"
SNSブロックは2種類あります。

・SNSブロック（Twitter･LINE共有）
・LINE友達追加ブロック
※現在Facebookは対応しておりません。



画面右側の「SNSブロック修正」にて編集できます。

・共有方法（Twitter･LINEから選択）
・SNS連携時文言
・テキスト
・各アイコン画像　※アップロードサイズ　1枚につき5MB以内
・タイトルのスタイル（文字サイズ・太さ・色）
・ブロックのスタイル（背景色）
LINE友達追加ブロック設定方法

画面右側の「LINE友達追加ブロック修正」にて編集できます。

・フォーム（画像・LINE友達登録のURL）
・ブロックのスタイル（パディング・ブロック幅・ブロックポジション・背景色）
SNSブロック設定方法"
【スマホサイト】地図,"
地図ブロックは2種類あります。

**地図（住所）ブロック**････指定住所を直接入力
**地図（iframe）ブロック**････Googleマップサイトから取得したiframeコードを入力
1.地図（住所）ブロック 設定方法


画面右側の「地図（住所）ブロック修正」にて編集できます。

・フォーム（住所の入力）
・ブロックのスタイル（パディング・背景色）
2.地図（iframe）ブロック設定方法


画面右側の「地図（iframe）ブロック修正」にて編集できます。

・フォーム（iframeコードを入力）
・ブロックのスタイル（パディング・背景色）

iframeコードの取得方法は別ページでご説明しております。
こちらをご参照ください。

**地図（ifame）**
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/dd69ca6c7ca064ab1c7d6ef33f4cf89cd4915b8e/
"
【スマホサイト】地図(iframe),"1.Googleマップサイトからiframeコードを取得する。
手順1.Googleマップにて、埋め込み予定場所を検索し表示します。

手順2.「共有」ボタンをクリックします。

手順3.「地図を埋め込む」を選択します。

手順4.「HTMLをコピー」をクリックし、リンクをクリップボードにコピーします。

2.取得したiframeコードを入力する。
手順1.地図（iframe）ブロックの、コード入力欄に入力されているコードを削除します。

手順2.入力欄に、コピーしたコードを入力（貼り付け）します。

（入力欄で右クリックしていただき、「貼り付け」を選択すると、
先ほどコピーしたテキストを貼り付けることができます。）



手順3.「保存ボタン」をクリックし完了。
"
【スマホサイト|youtube】YouTube (iframe),"YouTubeサイトからiFrameコードを取得する方法
手順1.YouTubeにアップロードされた埋め込み予定の動画を展開し、
「共有」ボタンをクリックします。

手順2.共有方法を選択。「埋め込む」を選択します。

手順3.「コピー」ボタンをクリックし、リンクをクリップボードにコピーします。

2.取得したiframeコードを入力する。
手順1.Youtube（iframe）ブロックの、コード入力欄に入力されているコードを削除します。

手順2.入力欄に、コピーしたコードを入力（貼り付け）します。

（入力欄で右クリックしていただき、「貼り付け」を選択すると、
先ほどコピーしたテキストを貼り付けることができます。）

手順3.「保存ボタン」をクリックし完了。
"
【スマホサイト】カルーセル(スライダー),"

2枚以上10枚以下の画像+テキストのセットを横スライドで表示することができます。
画像ごとにリンク設定も可
設定方法
画面右側の「カルーセル（スライダー）」にて編集できます。

・スライダー全体の設定（見出し・パディング・画像間の余白）
・画像の添付　※アップロードサイズ　1枚あたり5MB以内
・リンク
・タイトル
・説明文（色や太さ、右寄せ・左寄せなどの変更はできません）"
【スマホサイト】カルーセル(４分割),"

1つのブロックに同時に画像を4枚表示できます。リンク設定も可
設定方法
画面右側の「カルーセル（４分割）」にて編集できます。

・画像の添付　※アップロードサイズ　1枚あたり5MB以内
・リンク
・画像の表示サイズ"
【スマホサイト】GIFブロック,"

GIF画像の埋め込みができます。
設定方法
画面右側の「GIFブロック修正」にて編集できます。

・画像の添付
・表示サイズ
・画像のスタイル（幅・ポジション・角丸）
・ブロックのスタイル（パディング・背景色）"
【スマホサイト】カルーセルブロック,"

最大20枚、横にスライドで表示される画像のブロックです。
設定方法
画面右側の「カルーセルブロック修正」にて編集できます。

・画像の添付　※アップロードサイズ　5MB以内、横315px ×縦210pxの縦横比
・ブロックのスタイル（パディング・背景色）"
【スマホサイト】画像＋テキストブロック,"

画像とテキストがセットになったブロックです。（リンク設定も可）


設定方法
画面右側の「背景画像＋テキストブロック修正」にて編集できます。

・画像の添付　※アップロードサイズ　5MB以内
・リンク
・テキスト
・写真のスタイル（幅・オーダー）
・テキストのスタイル（フォントサイズ・太さ・ポジション・パディング・色・背景色）
・ブロックのスタイル（パディング・幅・ポジション・チャイルドの方向・背景色）"
【スマホサイト】画像ブロック,"

画像を1枚貼ることができます。（リンク設定も可）
設定方法
画面右側の「画像ブロック修正」にて編集できます。

・画像の添付　※アップロードサイズ　5MB以内
・リンク（設定したいものがあれば）
・写真のスタイル（幅・ポジション・角丸）
・ブロックのスタイル（パディング・背景色）"
【スマホサイト】背景画像＋テキストブロック,"

画像の上にテキスト表示ができます。
設定方法
画面右側の「背景画像＋テキストブロック修正」にて編集できます。

・画像の添付　※アップロードサイズ　5MB以内
・テキスト
・説明文
・テキストのスタイル（文字サイズ・太さ・色）
・ブロックのスタイル（パディング・ブロック幅・ブロックポジション・ダイアログ色・背景色）"
【スマホサイト】リンクブロック,"

画面右側の「リンクブロック修正」にて編集できます。

・写真orタイトル
・リンク先URL
・リンク先の種類（電話・メール・URL）
・ブロックのスタイル（パディング・ブロック幅・ポジション・背景色）
URLリンクが設定できます。
設定方法"
【スマホサイト】見出し＋テキストブロック,"
設定方法
画面右側の「見出し＋テキストブロック修正」にて編集できます。

・タイトル
・説明文
・タイトルと説明文の文字スタイル（文字サイズ・太さ・ポジション・色）
・ブロックのスタイル（パディング・背景色）

見出し（タイトル）とテキスト（説明文）を設定できます。"
【スマホサイト】テキストエリアブロック,"
設定方法
画面右側の「テキストエリアブロック修正」にて編集できます。

・テキスト本文
・テキストのスタイル（文字サイズ・太さ・ポジション・色）
・ブロックのスタイル（パディング・背景色）

テキストを設定できます。"
【スマホサイト】フッター,"
スマホサイトに最大1つのみ、設置可能（各タブに1つではありません）
設定方法

フッターブロックは、ページ全体で最大１つまで設置が可能です。
クリック＆ドラッグでページへ貼り付け、ONをクリックしフッターを表示させます。

編集方法

編集マークをクリックすると画面右側に編集用フォームが出ます。
入力後「保存」を押すと入力内容が反映されます。

・タイトル/テキスト：文字数上限:255文字以内
フッター表示のON・OFF

フッターの表示・非表示が選択できます。

フッターブロックは設置後、削除ができません。

不要な場合OFFにしたり、レイアウト変更であれば別のページへ移してください。
他のタブへフッターを移したいとき

リピートマークにカーソルを合わせ、下に移動先ページ番号の候補が表示されます。

数字を選択すると、指定したタブ（ページ）へフッターが移動します。
フッターのリセット

クリックすると以下のような確認画面が表示されます。

「同意する」をクリックすると内容がリセットされます。
"
【スマホサイト】Step5. コンテンツ詳細,"別ページでご説明しております。
こちらをご参照ください。

https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/5e2426dc6c5fdeb18048fa006c6648714a467cf9/"
【スマホサイト】Step1. URL設定,"別ページでご説明しております。
こちらをご参照ください。

https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/92ae5a0f74b88a61d901a626eba72d98beac332b/"
【スマホサイト】Step2. 背景画像をアップロード,"別ページでご説明しております。
こちらをご参照ください。

https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/aba45f81e3c6710a0b29f6c234fbb953869356d5/"
【スマホサイト】Step3. QR生成,"別ページでご説明しております。
こちらをご参照ください。

https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/b8aa4a2781c890fd5c36a3c500779209b36ec277/"
【スマホサイト】Step4. コンテンツ種類を選択,"
コンテンツの種類を選択します。
「標準」と「スライド型」から選択できます。

**標準の**
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/514276fb2381fb2a4d82a175f926eaed441210f8/

**スライド型の**
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/09458796bf2a151e29608bbf8d2d63a0ad1bcc13/
設定方法
1.スマホサイトを選択します。"
【スマホサイト】Step6. テンプレートを選択,"設定方法
・標準テンプレート（ある程度サンプルブロックが配置されたもの）
・白紙のテンプレート　
2種類よりいずれか選択します。

詳細なカスタマイズは次ステップの「テンプレートを編集」にて行います。

"
【スマホサイト】Step7-1. テンプレート編集,"**全体設定**
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/adcb5b4055b324f9d102e8f5c46836c34d36be67/

**スライド設定**
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/5f7f1834700c479b011444ae1e332b4a68b2b910/

**アプリブロック**
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/f629d3eb231476e6530733c5baeca71db53fe21b/



テンプレートを編集しスマホサイトのデザインを設定できます。
設定方法
各機能ごとに別ページでご説明しております。
こちらをご参照ください。"
【スマホサイト】Step8. プレビュー,"
設定した内容が確認できる画面です。
設定方法

1.設定内容を確認してください。
2.修正があれば「戻る」で前の画面に戻ります。
3.コンテンツを完成させるには「完了」をクリックします。
はみ出てしまう場合、タグの編集が必要になります。

HTMLタグ内の
width=“500” height=455 のwidthの数値を
width=100% height=455　（heightはそのまま）と変更いただくとはみ出ずに表示されます。
"
【よくある質問】スマホサイトでHTMLブロックを使ってfacebookを埋め込んだら、そのブロックだけ表示がはみでてしまいました。,"はみ出てしまう場合、タグの編集が必要になります。

HTMLタグ内の
width=“500” height=455 のwidthの数値を
width=100% height=455　（heightはそのまま）と変更いただくとはみ出ずに表示されます。
"
【スマホサイト|よくある質問】カルーセルは何枚まで画像表示できますか？,"カルーセルブロックは20枚まで

カルーセルブロック（４分割）は4枚まで

カルーセルブロック（スライダー）は2枚以上10枚以下

種類ごとに最大枚数が異なります。
"
【スマホサイト|よくある質問】スマホサイトは、何ブロックまで追加できますか？,ヘッダー、フッター込みで40ブロックまで追加可能です。
【スマホサイト|よくある質問】スマホサイトコンテンツは、 複数ページを構築することは可能でしょうか,"キュリアのスマホサイトコンテンツは、 1ページ構成です。

カテゴリ画像を設けていただき外部リンクを貼ることで、
複数ページ構成のような見せ方は可能ですが、
その場合、外部リンクとして複数サイトを行き来するイメージです。


［構築イメージ］
Aのメインサイトを構築、リンク先のBサイトを構築、リンク先のCサイトを構築。

Aのメインサイトに、リンク先のB,Cを外部リンクする。"
【ガチャ|くじ/スクラッチ/福引/ルーレット/スロット】Step5-2. 抽選期間・クーポン利用可能期間,"抽選期間：コンテンツの抽選期間を設定できます。

クーポン利用可能期間：抽選後に取得したクーポンの利用可能期間を設定できます。



注意事項
クーポン利用可能期間の終了時間は抽選期間の終了以降を指定してください。
抽選期間中にクーポンの利用を終了することはできません。

クーポン利用可能期間の開始時間は抽選期間の開始以降を指定してください。
クッキー日数の設定期間は、抽選期間やクーポン利用可能期間を考慮して
設定してください。

クーポン利用可能期間中にクッキー情報が削除されますと
取得済のクーポンも削除されます。
"
【ガチャ|くじ/スクラッチ/福引/ルーレット/スロット|クーポン】Step5-3. タイマー,"ガチャなどのキャンペーンに参加しクーポンを取得した場合、

そのクーポンの利用期限を指定できる機能です。
使用例
その場でクーポンを利用して欲しいため

クーポン取得後、30分以内に利用できるクーポンを発行する。などの

運用が可能です。
設定方法
コンテンツ詳細の「タイマー」の項目を設定します。

※最短00:01時間(1分)、最大23:59時間の間で設定する

タイマー利用時のコンテンツ画面


※注意点
・クッキー日数が「0」の場合タイマーが利用できないため、1日以上を設定します

・クーポン利用可能期間とタイマーは併用できません

・クッキー情報が保存されない環境（プライベートブラウザやQRコードリーダーアプリなどのアプリ内ブラウザなど）ではクーポンの有効期限の管理ができず、タイマー機能が利用できません。

必ず、推奨ブラウザでクッキー情報が保存できる状態で抽選に参加していただくようにしてください。

（クッキー情報が保存されない環境でクーポンにアクセスした場合のイメージ）

※残りのご利用可能時間が表示されません


"
【ガチャ|くじ/スクラッチ/福引/ルーレット/スロット|あたり設定】Step9-2. 二段階抽選,"対象プラン
ビジネス、ベーシック

2段階に分けて抽選結果を設定できます。

1段階目に設定した抽選数（くじの総数）に達成したら、

自動的に2段階目に設定した抽選数に切り替わりキャンペーンが運用できます。


対象コンテンツ種類
ガチャ,福引,ルーレット,スロット,くじ,スクラッチ
設定方法
1.あたり設定の画面内にある「二段階抽選」にチェックを入れて
1段階目と2段階目のそれぞれのくじ枚数を設定します。

使用例
使用例?　

（1段階目で1等?3等を優先的に表示させる場合）

合計で55枚のくじを発行する。

1段階目で15枚のくじを発行し1等から4等までのくじとする。

2段階目で40枚のくじを発行し4等のみ40枚を発行する。

使用例?　

（1段階目で規定枚数のクーポンを発行し、2段階目では参加賞などの特典を用意する場合）

合計で100枚のくじを発行する。

1段階目で60枚のくじを発行し1等から3等までのくじとする。

※4等は1段階目では使用しないため0枚に設定

2段階目で40枚のくじを発行し4等のみ40枚を発行する。

検索キーワード：２段階抽選"
【ガチャ|くじ/スクラッチ/福引/ルーレット/スロット】Step7-2.?ブロック追加,"
・抽選画面内にブロックを追加することができます。
・画像や各種SNSの共有メニューなど追加できます。

※追加できるブロック数は3つまでです。
※初期で設置されているブロック（ヘッダー、ガチャの画面、フッター）は削除できません。
設定方法
1.画面左側にある+ボタンをクリックするとブロックが追加できます。



・背景画像+テキスト
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/7cf6e6015fd37dd23bdd6b289ded5a2e61341939/

・地図（住所）
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/df78d38bdaa518c187b0d24738b8087abad13baa/

・テキストエリア
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/b2b908d2251566f3316bde7058a3620570c58f6d/

・見出し+テキスト
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/1e2b0b3428793711a1295a15fa62d6c8ffa37350/

・画像
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/ff127a8f22ab18da80246e2753194fb81e20cd3d/

・カルーセル
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/71d3b979cee9adff282c427bb462eb1b952dbba4/

・画像+テキスト
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/f630125585516542ce8a32fcbc0bb0949d85f02d/

・リンク
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/cb6ccc3d2f2148899aba59cd7233124f7dc7dc98/

・キュリアコンテンツ
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/585b3a9071608b28ffc50a465fa4432f5896f74d/

・地図（iframe）
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/dd69ca6c7ca064ab1c7d6ef33f4cf89cd4915b8e/

・Youtube（iframe）
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/5d82318cc52bf7f88b09ecf17e7e62d839fc9ff1/

・HTML
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/859cc60fec258a7f043e89d8a5a06fba5e7cb60b/

・GIF
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/45a6726534b008c6e15be941ef4531d3859410b1/

・LINE友達追加（iframe）
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/678e528764a2a7141a8481b6688df6ec071810d7/

・SNSブロック
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/678e528764a2a7141a8481b6688df6ec071810d7/
設定できるブロック種類
別ページでご説明しております。
こちらをご参照ください。"
【ガチャ|くじ/スクラッチ/福引/ルーレット/スロット】Step7-1. テンプレートを編集,"素材の変更方法
編集アイコンをクリックすると、画像を編集メニューに遷移します。

各場面の画像を変更する場合は、

変更する箇所の「＋画像を選択／＋動画を選択」ボタンをクリックし、

対象ファイルをアップロードください。

アップロード素材のファイル形式について
ご用意される素材サイズや、利用者の通信環境にもよりますが、
一般的に、GIF形式と比較した際、動画ファイル形式がパフォーマンスが良いと言われております。
※アップロード容量上限：10MB/ファイル

※BGMに関しては、ブラウザの自動再生に関するポリシーにより非対応となります。
（音付き動画の場合ミュートになります。一部Androidでは例外あり）


上部にある、「動画／画像」選択にて、ファイル形式を変更選択できます。
動画素材（MP4）か、画像素材（GIF）のどちらかの選択ができます。

※初期設定は動画です。

クーポン画像へのリンク設定
クーポン画像をクリックした際に指定のURLへリンクすることが可能です。


等級の増減方法
※ルーレットに関しては等級を決定後、コンテンツ編集を行っていただきます。

■等級数を増やす。
等級数が10個未満の場合に、等級数を増やせます。

■等級数を減らす。

画像を編集メニューへ遷移後、


コンテンツ内で表示させる素材の編集や等級の編集ができる画面です。
1.テンプレート編集画面にて、メインコンテンツの「編集」アイコンをクリックします。
2.素材をアップロードします。
1.クーポン画像の下にある「リンク」欄にURLを入力ください。
1.最下部にある「〇等を追加する」ボタンをクリックします
1.最下部にある等級の右端に表示されている「:heavy_multiplication_x:」ボタンをクリックします。
設定方法"
【ガチャ|くじ/スクラッチ/福引/ルーレット/スロット】Step8. キャンペーン高度設定,"別ページでご説明しております。
こちらをご参照ください。
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/128dcc58dfbfef556a3bab4461299086991a0e0c/

クーポン獲得後画面の文言変更（非公開可）と、もぎりボタンの画像変更ができます。

もぎりボタンを変更する
1.「＋画像を選択」をクリック

任意の画像をアップロードください。

※対応ファイル形式：PNGまたはJPEG

※推奨サイズ：横238 px、縦46 px
文言のテキストを変更する（上段テキスト）

テキストの変更方法
1.入力欄をクリックし、任意のテキストを入力します。



注意事項（下段テキスト）

テキストの変更方法
1.入力欄をクリックし、任意のテキストを入力します。



テキスト類（上段、下段）を非公開にする
1.テキスト項目の右側にあるトグルスイッチ「公開中」をクリックし、「非公開」を選択します。



クーポンURLの保存ボタンを追加

ONにした場合、このような表示になります。

保存ボタンの色などのデザインは変更できません。

（イメージ）



クーポン利用店舗選択機能
設定方法"
【ガチャ|くじ/スクラッチ/福引/ルーレット/スロット】Step9-1. あたり設定,"
クーポン等の発行総数と、等級ごとの当たり枚数（確率）を設定することができます。
1.くじの総数（発行総数）を入力

入力欄をクリックし、枚数を入力ください。


2.等級ごとの当たり枚数を入力

入力欄をクリックし、枚数を入力ください。

※当たり枚数=発行総数×確率%

もぎり機能

クーポンを使用した際に、そのクーポンを「利用済」とする事ができます。

もぎり機能をONにすると、「クーポンを利用する」ボタンが出現し、

クリックすると、「クーポン利用済」と表示が変更されます。
設定方法
※デフォルトでONになっております。
1.チェックを入れたり、外したりしてON、OFFを切り替えます。



その他機能は別ページでご説明しております。
こちらをご参照ください。
二段階抽選
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/4926b4ddf51506570a3162de52b4edb45be31fe1/
枚数リセット
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/6681edb350791811a1ee7e2eb99681b4719bf441/
設定方法"
【ガチャ|くじ/スクラッチ/福引/ルーレット/スロット】Step9-3. 枚数リセット,"
対象プラン

コンテンツ（クーポン、ガチャ、くじ、スクラッチ）を公開後、
テスト等でコンテンツ確認し、くじ枚数を減らした場合に、
「枚数リセット」ボタンを押すと、使用されたくじ枚数をリセットする事ができます。

**※リセット実行後はリセット前の状態に戻す事はできません。**
**※クッキー情報もリセットされ、景品獲得履歴も消えます。
 （既に抽選済みの端末も、未抽選端末になります。）**
**※リセット後は、リセット前のCSVデータが取得できなくなります。
　必要な場合、リセット前にCSVデータのダウンロードをお願いします。**
枚数をリセットする方法
1.あたり設定画面を展開

管理画面TOPのコンテンツ一覧より、コンテンツの「編集」ボタンをクリックし
あたり設定画面まで進みます。

2.「枚数リセット」ボタンをクリック
あたり設定画面の、右上にある「枚数リセット」ボタンをクリックします。



3.アラートを確認（枚数リセットの実行）

アラートを確認し、枚数リセットを実行します。
実行する場合は、「OK」をクリック。
キャンセルする場合は、「キャンセル」をクリック。
4.完了
完了アラートです。「OK」をクリック。

使用されたチケット数がゼロになっていることをご確認ください。

くじ枚数を変更する方法
コンテンツの公開期間中であっても、くじ枚数を変更できます。

枚数リセットを実行すると、くじの総数、各等級ごとの枚数が変更できるようになります。

1.枚数リセットを実行してください。

2.変更箇所をクリックし、くじの枚数を再設定（変更）ください。



設定方法
二次利用可能な印刷会社様向けのクリエイティブプランのみ
"
